일시,시도명칭,시군구명칭,수량,금액
2020-01,서울,강남구,5626298,700507532
2020-02,서울,강남구,3447691,458889679
2020-03,서울,강남구,2314436,388732042
2020-04,서울,강남구,1701281,323063663
2020-05,서울,강남구,1713692,295341093
2020-06,서울,강남구,1741017,297908818
2020-07,서울,강남구,1700403,317298859
2020-08,서울,강남구,1463558,243227403
2020-09,서울,강남구,1561158,303679925
2020-10,서울,강남구,1617038,303034171
2020-11,서울,강남구,2205106,339105544
2020-12,서울,강남구,1675021,305262543
2021-01,서울,강남구,1367529,300976314
2021-02,서울,강남구,1279997,261834816
2021-03,서울,강남구,1949657,332105139
2021-04,서울,강남구,2537816,361010963
2021-05,서울,강남구,2078244,322318838
2021-06,서울,강남구,1833153,304468208
2021-07,서울,강남구,1471215,274381410
2021-08,서울,강남구,1248064,266961339
2021-09,서울,강남구,1595981,294144843
2021-10,서울,강남구,2060766,318611955
2021-11,서울,강남구,3271882,408696535
2021-12,서울,강남구,2511892,370282973
2022-01,서울,강남구,2397141,354896104
2022-02,서울,강남구,3207803,470605829
2022-03,서울,강남구,7163884,904785681
2022-04,서울,강남구,4941784,659943474
2022-05,서울,강남구,3069907,428372544
2022-06,서울,강남구,2789910,369390023
2022-07,서울,강남구,3977834,520867596
2022-08,서울,강남구,4026285,604449675
2022-09,서울,강남구,3817104,516655866
2022-10,서울,강남구,4304821,546956449
2022-11,서울,강남구,4816015,632067157
2022-12,서울,강남구,5856633,758103538
2023-01,서울,강남구,4530382,648050600
2023-02,서울,강남구,3804825,538125616
2023-03,서울,강남구,5244477,682826826
2023-04,서울,강남구,7496467,831674314
2023-05,서울,강남구,7178110,864482526
2023-06,서울,강남구,5367222,699066031
2023-07,서울,강남구,5784856,715160455
2023-08,서울,강남구,4619687,644392662
2023-09,서울,강남구,5104396,612034316
2023-10,서울,강남구,6082159,754155330
2023-11,서울,강남구,7160718,876080782
2023-12,서울,강남구,8449554,1042934522
2024-01,서울,강남구,6750991,978284906
2024-02,서울,강남구,5240134,719922075
2024-03,서울,강남구,5258471,691419184
2024-04,서울,강남구,5828538,759678431
2024-05,서울,강남구,5266966,695771525
2024-06,서울,강남구,4266435,586207482
2024-07,서울,강남구,5391447,696797634
2024-08,서울,강남구,5449140,761605013
2024-09,서울,강남구,4812296,623186669
2024-10,서울,강남구,5770628,713957105
2024-11,서울,강남구,6177343,765495438
2024-12,서울,강남구,7897762,999876825
2025-01,서울,강남구,6966180,1007792475
2025-02,서울,강남구,3984217,627107192
2025-03,서울,강남구,4929375,700879705
2025-04,서울,강남구,5269195,762174784
2025-05,서울,강남구,4209348,635182556
2025-06,서울,강남구,3383245,541145342
2025-07,서울,강남구,3431281,556506017
2025-08,서울,강남구,3049782,535407649
2025-09,서울,강남구,3965318,635354973
2025-10,서울,강남구,4030622,606250001
2025-11,서울,강남구,5907992,793861532
2025-12,서울,강남구,5380433,809241867
2020-01,서울,강동구,4957036,526575551
2020-02,서울,강동구,3429089,378450837
2020-03,서울,강동구,2490402,319644456
2020-04,서울,강동구,1973913,275397668
2020-05,서울,강동구,2134786,269389499
2020-06,서울,강동구,2148722,270683263
2020-07,서울,강동구,2070965,272658229
2020-08,서울,강동구,1751743,236301958
2020-09,서울,강동구,1889877,260776393
2020-10,서울,강동구,1992046,271995450
2020-11,서울,강동구,2735808,302712711
2020-12,서울,강동구,2116561,308764826
2021-01,서울,강동구,1724439,271516430
2021-02,서울,강동구,1586973,242556388
2021-03,서울,강동구,2377891,293443853
2021-04,서울,강동구,2890815,334148406
2021-05,서울,강동구,2471772,285535091
2021-06,서울,강동구,2271275,292593903
2021-07,서울,강동구,1835939,256384705
2021-08,서울,강동구,1653448,254532181
2021-09,서울,강동구,2075262,268387370
2021-10,서울,강동구,2512074,301055236
2021-11,서울,강동구,3664933,365264411
2021-12,서울,강동구,2985357,332954900
2022-01,서울,강동구,2939488,332565769
2022-02,서울,강동구,3556774,398168330
2022-03,서울,강동구,7061665,784537627
2022-04,서울,강동구,4883961,575709380
2022-05,서울,강동구,3350735,411267709
2022-06,서울,강동구,3080449,352820223
2022-07,서울,강동구,3671831,427446710
2022-08,서울,강동구,3931659,511143882
2022-09,서울,강동구,3938326,469081864
2022-10,서울,강동구,4367721,472667653
2022-11,서울,강동구,4834301,556287062
2022-12,서울,강동구,5547762,625220823
2023-01,서울,강동구,4287100,509646570
2023-02,서울,강동구,3859044,423322666
2023-03,서울,강동구,4919396,531567799
2023-04,서울,강동구,6373177,639610594
2023-05,서울,강동구,6056149,650679610
2023-06,서울,강동구,4521534,515124440
2023-07,서울,강동구,5287107,532531773
2023-08,서울,강동구,4453985,509406228
2023-09,서울,강동구,4692401,484713318
2023-10,서울,강동구,5617194,608131109
2023-11,서울,강동구,6510400,706277365
2023-12,서울,강동구,7365344,805521737
2024-01,서울,강동구,5910193,719437904
2024-02,서울,강동구,5094482,591455631
2024-03,서울,강동구,5002574,562446560
2024-04,서울,강동구,5340649,602076140
2024-05,서울,강동구,4624349,527822220
2024-06,서울,강동구,3714893,454810763
2024-07,서울,강동구,4665489,529628238
2024-08,서울,강동구,4534142,547597017
2024-09,서울,강동구,4188943,466102070
2024-10,서울,강동구,5008949,543842636
2024-11,서울,강동구,5459840,590593011
2024-12,서울,강동구,6851850,760362569
2025-01,서울,강동구,6183368,771144401
2025-02,서울,강동구,4049791,505547176
2025-03,서울,강동구,4735742,551372618
2025-04,서울,강동구,5050101,573916333
2025-05,서울,강동구,4148769,501887273
2025-06,서울,강동구,3401587,438641163
2025-07,서울,강동구,3475802,444245801
2025-08,서울,강동구,3083649,430057936
2025-09,서울,강동구,3923561,492390445
2025-10,서울,강동구,3964364,483857207
2025-11,서울,강동구,5794422,663920970
2025-12,서울,강동구,5257262,644078248
2020-01,서울,강북구,2960866,247467675
2020-02,서울,강북구,1936741,178400770
2020-03,서울,강북구,1323300,136721102
2020-04,서울,강북구,991488,106367215
2020-05,서울,강북구,1085529,105857604
2020-06,서울,강북구,960662,96263065
2020-07,서울,강북구,885937,89690299
2020-08,서울,강북구,785639,83292908
2020-09,서울,강북구,943187,102706915
2020-10,서울,강북구,969478,100824568
2020-11,서울,강북구,1230118,113421712
2020-12,서울,강북구,1035455,116279141
2021-01,서울,강북구,749183,93354678
2021-02,서울,강북구,735960,89899226
2021-03,서울,강북구,1100370,111811808
2021-04,서울,강북구,1243911,119135466
2021-05,서울,강북구,1043335,105573972
2021-06,서울,강북구,851713,91875843
2021-07,서울,강북구,730357,82455676
2021-08,서울,강북구,608922,80152666
2021-09,서울,강북구,865215,91804690
2021-10,서울,강북구,1031609,104024395
2021-11,서울,강북구,1530849,139837162
2021-12,서울,강북구,1423568,141742778
2022-01,서울,강북구,1194632,122030547
2022-02,서울,강북구,1539302,162782209
2022-03,서울,강북구,3790219,361059604
2022-04,서울,강북구,2441275,254521973
2022-05,서울,강북구,1513110,150914606
2022-06,서울,강북구,1182117,118670456
2022-07,서울,강북구,1589832,153430768
2022-08,서울,강북구,1761872,195160584
2022-09,서울,강북구,1614362,175881604
2022-10,서울,강북구,1919226,188758998
2022-11,서울,강북구,2173962,223385146
2022-12,서울,강북구,2672136,268873742
2023-01,서울,강북구,2007211,209692135
2023-02,서울,강북구,1721599,173130713
2023-03,서울,강북구,2148636,208791943
2023-04,서울,강북구,2754973,243228788
2023-05,서울,강북구,2647393,250146031
2023-06,서울,강북구,1918655,192972635
2023-07,서울,강북구,2217502,205950862
2023-08,서울,강북구,1865403,184864110
2023-09,서울,강북구,1923326,183922171
2023-10,서울,강북구,2379680,227514142
2023-11,서울,강북구,2764251,272120202
2023-12,서울,강북구,3362366,335505000
2024-01,서울,강북구,2648905,286870395
2024-02,서울,강북구,2318374,257949549
2024-03,서울,강북구,2159277,225841850
2024-04,서울,강북구,2272832,238588900
2024-05,서울,강북구,2109142,223821249
2024-06,서울,강북구,1701697,184972420
2024-07,서울,강북구,2066977,218882762
2024-08,서울,강북구,2329652,256605120
2024-09,서울,강북구,1839713,193805585
2024-10,서울,강북구,2166358,225668572
2024-11,서울,강북구,2460665,256611867
2024-12,서울,강북구,3185519,344833979
2025-01,서울,강북구,3022190,357679913
2025-02,서울,강북구,1809542,215276819
2025-03,서울,강북구,1943815,219038426
2025-04,서울,강북구,2015227,223906872
2025-05,서울,강북구,1651385,190913177
2025-06,서울,강북구,1229095,146983708
2025-07,서울,강북구,1188453,138435962
2025-08,서울,강북구,1169991,144496330
2025-09,서울,강북구,1566923,184061915
2025-10,서울,강북구,1569222,181384501
2025-11,서울,강북구,2224974,237411739
2025-12,서울,강북구,2230803,256664606
2020-01,서울,강서구,4863045,492174672
2020-02,서울,강서구,3118110,325308827
2020-03,서울,강서구,1973932,239733526
2020-04,서울,강서구,1438983,186122567
2020-05,서울,강서구,1610603,183115253
2020-06,서울,강서구,1432172,175097102
2020-07,서울,강서구,1535803,174890088
2020-08,서울,강서구,1290757,160309361
2020-09,서울,강서구,1357065,179154285
2020-10,서울,강서구,1482704,186077101
2020-11,서울,강서구,2083599,213938841
2020-12,서울,강서구,1447323,194151268
2021-01,서울,강서구,1043313,164792329
2021-02,서울,강서구,1055837,152872459
2021-03,서울,강서구,1789985,193844385
2021-04,서울,강서구,2341007,225587585
2021-05,서울,강서구,2017927,203369087
2021-06,서울,강서구,1498386,173362647
2021-07,서울,강서구,1148087,148899930
2021-08,서울,강서구,921082,138146772
2021-09,서울,강서구,1319328,163876446
2021-10,서울,강서구,1920643,195493865
2021-11,서울,강서구,3173252,291172019
2021-12,서울,강서구,2253842,245776863
2022-01,서울,강서구,2287149,243826146
2022-02,서울,강서구,2773966,321984941
2022-03,서울,강서구,6769698,759954686
2022-04,서울,강서구,4620815,531913823
2022-05,서울,강서구,2794149,308673890
2022-06,서울,강서구,2709230,261876199
2022-07,서울,강서구,3327515,345060603
2022-08,서울,강서구,3389310,432306668
2022-09,서울,강서구,3423827,375939476
2022-10,서울,강서구,4172970,429455513
2022-11,서울,강서구,4514270,502594719
2022-12,서울,강서구,5283593,605058773
2023-01,서울,강서구,4106164,495388617
2023-02,서울,강서구,3363772,373059130
2023-03,서울,강서구,4502770,468354078
2023-04,서울,강서구,6151819,612205523
2023-05,서울,강서구,5691228,605907519
2023-06,서울,강서구,4213280,456649084
2023-07,서울,강서구,5053623,490842671
2023-08,서울,강서구,4033826,455076258
2023-09,서울,강서구,4267273,425400759
2023-10,서울,강서구,5275859,546660111
2023-11,서울,강서구,6411462,673504731
2023-12,서울,강서구,7708131,836291358
2024-01,서울,강서구,5968998,714622740
2024-02,서울,강서구,4829169,554940937
2024-03,서울,강서구,4729976,532289312
2024-04,서울,강서구,4883217,555324493
2024-05,서울,강서구,4654622,535389290
2024-06,서울,강서구,3747653,441240562
2024-07,서울,강서구,4749389,521970743
2024-08,서울,강서구,4996574,604906556
2024-09,서울,강서구,4190544,463551872
2024-10,서울,강서구,4874559,524308639
2024-11,서울,강서구,5281639,586196531
2024-12,서울,강서구,6750960,767790233
2025-01,서울,강서구,6224399,805048279
2025-02,서울,강서구,3502551,457352561
2025-03,서울,강서구,4191973,503094888
2025-04,서울,강서구,4333467,528650147
2025-05,서울,강서구,3406970,438500365
2025-06,서울,강서구,2546474,336410249
2025-07,서울,강서구,2718971,351076460
2025-08,서울,강서구,2520805,353952734
2025-09,서울,강서구,3239415,427885584
2025-10,서울,강서구,3380201,434802334
2025-11,서울,강서구,5024755,587595950
2025-12,서울,강서구,4660490,593395836
2020-01,서울,관악구,3726657,353680504
2020-02,서울,관악구,2330678,228335763
2020-03,서울,관악구,1524533,174937482
2020-04,서울,관악구,1035209,127406786
2020-05,서울,관악구,1116252,122339051
2020-06,서울,관악구,1087441,119249147
2020-07,서울,관악구,974022,113932146
2020-08,서울,관악구,872472,98665093
2020-09,서울,관악구,1032650,129260710
2020-10,서울,관악구,1099567,126163194
2020-11,서울,관악구,1470718,144659451
2020-12,서울,관악구,1107629,137768495
2021-01,서울,관악구,781435,115009714
2021-02,서울,관악구,743828,104416304
2021-03,서울,관악구,1173780,129519869
2021-04,서울,관악구,1540100,152165698
2021-05,서울,관악구,1292569,130242488
2021-06,서울,관악구,999647,113450615
2021-07,서울,관악구,828780,103527707
2021-08,서울,관악구,626759,91143868
2021-09,서울,관악구,894823,105542639
2021-10,서울,관악구,1172830,123260528
2021-11,서울,관악구,1937896,174240773
2021-12,서울,관악구,1560112,166009734
2022-01,서울,관악구,1431104,153899656
2022-02,서울,관악구,1839841,208688757
2022-03,서울,관악구,5001389,517687649
2022-04,서울,관악구,3456269,358010447
2022-05,서울,관악구,1828791,194100128
2022-06,서울,관악구,1615636,154650236
2022-07,서울,관악구,2144863,225773123
2022-08,서울,관악구,2454929,288011593
2022-09,서울,관악구,2302374,245718682
2022-10,서울,관악구,2593489,251042055
2022-11,서울,관악구,2960788,302234122
2022-12,서울,관악구,3553897,364893900
2023-01,서울,관악구,2717746,293633021
2023-02,서울,관악구,2203485,218632602
2023-03,서울,관악구,2936438,292339317
2023-04,서울,관악구,3834663,362345372
2023-05,서울,관악구,3758278,372790669
2023-06,서울,관악구,2626208,268916598
2023-07,서울,관악구,3113830,293601649
2023-08,서울,관악구,2541773,264655458
2023-09,서울,관악구,2524455,245924963
2023-10,서울,관악구,3256778,320369768
2023-11,서울,관악구,4011145,391220202
2023-12,서울,관악구,4630938,467616173
2024-01,서울,관악구,3779138,419967136
2024-02,서울,관악구,3141880,336000864
2024-03,서울,관악구,3093238,318944356
2024-04,서울,관악구,3179532,334372632
2024-05,서울,관악구,2867841,304897322
2024-06,서울,관악구,2249571,252339642
2024-07,서울,관악구,2843060,295671994
2024-08,서울,관악구,3184513,361660292
2024-09,서울,관악구,2602307,265504134
2024-10,서울,관악구,3157083,315587155
2024-11,서울,관악구,3480019,344910794
2024-12,서울,관악구,4301457,457336794
2025-01,서울,관악구,4104121,494361179
2025-02,서울,관악구,2258066,276487464
2025-03,서울,관악구,2637540,300534778
2025-04,서울,관악구,2682536,308708165
2025-05,서울,관악구,2220404,266427680
2025-06,서울,관악구,1608831,197970723
2025-07,서울,관악구,1643377,201007010
2025-08,서울,관악구,1518836,206420030
2025-09,서울,관악구,2025132,254046033
2025-10,서울,관악구,2170938,255876366
2025-11,서울,관악구,3110125,344420412
2025-12,서울,관악구,2799731,329559897
2020-01,서울,광진구,3255272,328444597
2020-02,서울,광진구,2067776,218472564
2020-03,서울,광진구,1330387,178948058
2020-04,서울,광진구,1005887,146108370
2020-05,서울,광진구,1035763,142710362
2020-06,서울,광진구,1011313,134649839
2020-07,서울,광진구,963767,136773975
2020-08,서울,광진구,823622,124088144
2020-09,서울,광진구,936538,130482923
2020-10,서울,광진구,923059,139273440
2020-11,서울,광진구,1277674,155537584
2020-12,서울,광진구,981025,141680915
2021-01,서울,광진구,748600,136290736
2021-02,서울,광진구,711571,126216569
2021-03,서울,광진구,1039867,152020562
2021-04,서울,광진구,1363217,174677064
2021-05,서울,광진구,1103261,145018882
2021-06,서울,광진구,921129,140163954
2021-07,서울,광진구,758509,135624672
2021-08,서울,광진구,643684,118204313
2021-09,서울,광진구,815605,125778617
2021-10,서울,광진구,1086987,151864058
2021-11,서울,광진구,1752327,193540213
2021-12,서울,광진구,1320077,175477689
2022-01,서울,광진구,1314093,179807733
2022-02,서울,광진구,1619463,207006048
2022-03,서울,광진구,3950427,454469812
2022-04,서울,광진구,2412872,310951176
2022-05,서울,광진구,1530213,190516121
2022-06,서울,광진구,1257477,149598231
2022-07,서울,광진구,1844029,219794305
2022-08,서울,광진구,1980892,260611137
2022-09,서울,광진구,1835055,224853159
2022-10,서울,광진구,2101248,244629168
2022-11,서울,광진구,2387395,288061666
2022-12,서울,광진구,2908313,335555308
2023-01,서울,광진구,2266692,288500511
2023-02,서울,광진구,1858056,224771907
2023-03,서울,광진구,2501393,297522774
2023-04,서울,광진구,3474590,358649773
2023-05,서울,광진구,3192452,361398027
2023-06,서울,광진구,2302535,270772071
2023-07,서울,광진구,2529735,281373556
2023-08,서울,광진구,2127862,260867237
2023-09,서울,광진구,2237597,255663559
2023-10,서울,광진구,2747239,312842304
2023-11,서울,광진구,3380498,375231544
2023-12,서울,광진구,3855905,437801904
2024-01,서울,광진구,3133373,406223097
2024-02,서울,광진구,2541587,305003505
2024-03,서울,광진구,2566566,302066614
2024-04,서울,광진구,2732416,323385059
2024-05,서울,광진구,2492654,303150416
2024-06,서울,광진구,1953538,253054522
2024-07,서울,광진구,2450503,304324363
2024-08,서울,광진구,2528998,330141135
2024-09,서울,광진구,2107639,260766596
2024-10,서울,광진구,2475400,305228259
2024-11,서울,광진구,2775201,341540050
2024-12,서울,광진구,3492900,430760185
2025-01,서울,광진구,3348818,456547118
2025-02,서울,광진구,1963042,284017567
2025-03,서울,광진구,2235653,297283092
2025-04,서울,광진구,2446824,333155044
2025-05,서울,광진구,1943367,273398707
2025-06,서울,광진구,1489954,218825248
2025-07,서울,광진구,1446726,222560472
2025-08,서울,광진구,1354930,215687950
2025-09,서울,광진구,1655638,251862322
2025-10,서울,광진구,1775902,258546953
2025-11,서울,광진구,2590296,335964205
2025-12,서울,광진구,2370875,340152267
2020-01,서울,구로구,4353476,442886726
2020-02,서울,구로구,2699777,301291542
2020-03,서울,구로구,1956588,251423129
2020-04,서울,구로구,1427340,202201409
2020-05,서울,구로구,1626781,198292071
2020-06,서울,구로구,1597244,201758934
2020-07,서울,구로구,1540422,194580744
2020-08,서울,구로구,1328008,173834645
2020-09,서울,구로구,1468243,210618127
2020-10,서울,구로구,1578677,215172121
2020-11,서울,구로구,2167906,239541475
2020-12,서울,구로구,1571853,221887993
2021-01,서울,구로구,1156382,185428430
2021-02,서울,구로구,1091626,175349860
2021-03,서울,구로구,1906840,230381569
2021-04,서울,구로구,2353888,259138972
2021-05,서울,구로구,1938269,232172019
2021-06,서울,구로구,1518689,202662664
2021-07,서울,구로구,1237973,189580519
2021-08,서울,구로구,947227,157556753
2021-09,서울,구로구,1380675,190885813
2021-10,서울,구로구,1995752,230544897
2021-11,서울,구로구,2750661,293381460
2021-12,서울,구로구,2187732,273526774
2022-01,서울,구로구,2171230,267106319
2022-02,서울,구로구,2537419,315464849
2022-03,서울,구로구,5407248,609460839
2022-04,서울,구로구,3844830,451361086
2022-05,서울,구로구,2519907,302870582
2022-06,서울,구로구,2132183,241230756
2022-07,서울,구로구,2897210,311860004
2022-08,서울,구로구,3126253,387384982
2022-09,서울,구로구,3223194,365091668
2022-10,서울,구로구,3528985,377937187
2022-11,서울,구로구,3905922,434582428
2022-12,서울,구로구,4647014,507396310
2023-01,서울,구로구,3625827,434043212
2023-02,서울,구로구,2909285,334537506
2023-03,서울,구로구,3866241,430823058
2023-04,서울,구로구,5076613,524414550
2023-05,서울,구로구,4785353,519234803
2023-06,서울,구로구,3654110,410434524
2023-07,서울,구로구,4232181,438092578
2023-08,서울,구로구,3517489,422401077
2023-09,서울,구로구,3648916,384869514
2023-10,서울,구로구,4482991,472886545
2023-11,서울,구로구,5262078,562936007
2023-12,서울,구로구,6025715,649651043
2024-01,서울,구로구,5060711,618140963
2024-02,서울,구로구,4249355,510261459
2024-03,서울,구로구,3993625,463617345
2024-04,서울,구로구,4250298,496142692
2024-05,서울,구로구,3983748,466684238
2024-06,서울,구로구,3166388,391496618
2024-07,서울,구로구,4012513,478898108
2024-08,서울,구로구,4352048,524957707
2024-09,서울,구로구,3827475,438398228
2024-10,서울,구로구,4397904,485746090
2024-11,서울,구로구,4626371,510643682
2024-12,서울,구로구,5722504,630722779
2025-01,서울,구로구,5202906,653121113
2025-02,서울,구로구,3214115,419959089
2025-03,서울,구로구,3696617,437100891
2025-04,서울,구로구,3873978,455805022
2025-05,서울,구로구,3147553,385183819
2025-06,서울,구로구,2447652,326032248
2025-07,서울,구로구,2474852,323730812
2025-08,서울,구로구,2326261,313042526
2025-09,서울,구로구,2951191,384343497
2025-10,서울,구로구,3062131,375907283
2025-11,서울,구로구,4470873,488789256
2025-12,서울,구로구,4021587,486785287
2020-01,서울,금천구,2287253,205512649
2020-02,서울,금천구,1457862,133780599
2020-03,서울,금천구,975067,100927917
2020-04,서울,금천구,730201,77905464
2020-05,서울,금천구,794687,73338661
2020-06,서울,금천구,731815,71607422
2020-07,서울,금천구,640267,66796507
2020-08,서울,금천구,602726,62691974
2020-09,서울,금천구,689589,74575982
2020-10,서울,금천구,724789,74919815
2020-11,서울,금천구,985066,86566448
2020-12,서울,금천구,749389,81637671
2021-01,서울,금천구,569227,67216027
2021-02,서울,금천구,532375,63418182
2021-03,서울,금천구,852699,80422541
2021-04,서울,금천구,1027701,91191906
2021-05,서울,금천구,853186,79717138
2021-06,서울,금천구,668903,69973860
2021-07,서울,금천구,555633,60489018
2021-08,서울,금천구,455537,56838235
2021-09,서울,금천구,643433,67894631
2021-10,서울,금천구,850569,78304889
2021-11,서울,금천구,1319288,110189176
2021-12,서울,금천구,1050085,103448744
2022-01,서울,금천구,1056865,100407933
2022-02,서울,금천구,1312024,129619309
2022-03,서울,금천구,3070515,291309676
2022-04,서울,금천구,2138611,207941283
2022-05,서울,금천구,1198934,114467713
2022-06,서울,금천구,950752,87524248
2022-07,서울,금천구,1338948,117984027
2022-08,서울,금천구,1566489,168175963
2022-09,서울,금천구,1468019,148118748
2022-10,서울,금천구,1661051,150293762
2022-11,서울,금천구,1870983,182754629
2022-12,서울,금천구,2316842,227227380
2023-01,서울,금천구,1852612,188613568
2023-02,서울,금천구,1508077,144916552
2023-03,서울,금천구,1953804,179532836
2023-04,서울,금천구,2542705,224849505
2023-05,서울,금천구,2504958,236100783
2023-06,서울,금천구,1768758,171771669
2023-07,서울,금천구,1936943,175659401
2023-08,서울,금천구,1716179,168381563
2023-09,서울,금천구,1726915,159696572
2023-10,서울,금천구,2177220,203038372
2023-11,서울,금천구,2650774,256209314
2023-12,서울,금천구,3108082,309057319
2024-01,서울,금천구,2648129,282972451
2024-02,서울,금천구,2184498,225500044
2024-03,서울,금천구,2115191,205270657
2024-04,서울,금천구,2194546,215958892
2024-05,서울,금천구,1964803,199376615
2024-06,서울,금천구,1512483,156323419
2024-07,서울,금천구,1941718,195058453
2024-08,서울,금천구,2087172,229380371
2024-09,서울,금천구,1646654,164087944
2024-10,서울,금천구,2043308,199326041
2024-11,서울,금천구,2281342,225029526
2024-12,서울,금천구,2849969,298521971
2025-01,서울,금천구,2796311,317349794
2025-02,서울,금천구,1646331,181617035
2025-03,서울,금천구,1890066,196475849
2025-04,서울,금천구,1924035,204633797
2025-05,서울,금천구,1548892,168593887
2025-06,서울,금천구,1075704,122763794
2025-07,서울,금천구,1101563,118909842
2025-08,서울,금천구,1056881,124365373
2025-09,서울,금천구,1340677,153559680
2025-10,서울,금천구,1453645,160338106
2025-11,서울,금천구,2077903,214581480
2025-12,서울,금천구,1926943,215458119
2020-01,서울,노원구,5202693,483886608
2020-02,서울,노원구,3325819,330478447
2020-03,서울,노원구,2160958,254360778
2020-04,서울,노원구,1672169,213123037
2020-05,서울,노원구,1933631,214731603
2020-06,서울,노원구,1734401,195266176
2020-07,서울,노원구,1689722,194955429
2020-08,서울,노원구,1446833,174721905
2020-09,서울,노원구,1531839,197276958
2020-10,서울,노원구,1607539,207816883
2020-11,서울,노원구,2214081,233562865
2020-12,서울,노원구,1620249,218623069
2021-01,서울,노원구,1212229,186768377
2021-02,서울,노원구,1173533,175283969
2021-03,서울,노원구,1883408,218101266
2021-04,서울,노원구,2153986,237407142
2021-05,서울,노원구,1893954,219439553
2021-06,서울,노원구,1518639,198836461
2021-07,서울,노원구,1243881,171952714
2021-08,서울,노원구,1064786,165502503
2021-09,서울,노원구,1403012,180458266
2021-10,서울,노원구,1860329,210932420
2021-11,서울,노원구,2981809,291324320
2021-12,서울,노원구,2311141,263098424
2022-01,서울,노원구,2299493,261838592
2022-02,서울,노원구,2705106,326050303
2022-03,서울,노원구,6407018,698234227
2022-04,서울,노원구,4475782,489419972
2022-05,서울,노원구,2779069,310848566
2022-06,서울,노원구,2375304,256911790
2022-07,서울,노원구,3145935,346158441
2022-08,서울,노원구,3330885,441125627
2022-09,서울,노원구,3185126,372775685
2022-10,서울,노원구,3556673,390240032
2022-11,서울,노원구,3980895,465577866
2022-12,서울,노원구,4836580,559149286
2023-01,서울,노원구,3731078,453828605
2023-02,서울,노원구,3117730,358579018
2023-03,서울,노원구,4005367,445069096
2023-04,서울,노원구,5124566,536205352
2023-05,서울,노원구,4797594,539713724
2023-06,서울,노원구,3622078,420099970
2023-07,서울,노원구,4192701,437044597
2023-08,서울,노원구,3469719,401018498
2023-09,서울,노원구,3668853,392514018
2023-10,서울,노원구,4423953,478071181
2023-11,서울,노원구,5362775,580059131
2023-12,서울,노원구,6075897,684127268
2024-01,서울,노원구,4853520,593931857
2024-02,서울,노원구,3900838,468505382
2024-03,서울,노원구,4026323,470853439
2024-04,서울,노원구,4194658,486749903
2024-05,서울,노원구,3864404,452992183
2024-06,서울,노원구,3023818,372716233
2024-07,서울,노원구,3936318,452785461
2024-08,서울,노원구,4127216,505777469
2024-09,서울,노원구,3563383,393512147
2024-10,서울,노원구,4165312,448597800
2024-11,서울,노원구,4580881,496965855
2024-12,서울,노원구,5519046,637310358
2025-01,서울,노원구,5151687,670480576
