일시,시도명칭,시군구명칭,수량,금액
2020-01,서울,강남구,7270174,1305204286
2020-02,서울,강남구,5441324,1064732820
2020-03,서울,강남구,4988203,1043777385
2020-04,서울,강남구,5001873,1098282942
2020-05,서울,강남구,5286300,1142527238
2020-06,서울,강남구,5717761,1261553536
2020-07,서울,강남구,5985948,1305491376
2020-08,서울,강남구,5345754,1151672156
2020-09,서울,강남구,5315533,1155752172
2020-10,서울,강남구,5404433,1179992200
2020-11,서울,강남구,5617941,1214753390
2020-12,서울,강남구,5292415,1156095761
2021-01,서울,강남구,5078807,1115222411
2021-02,서울,강남구,4856468,1072560134
2021-03,서울,강남구,5979223,1300159719
2021-04,서울,강남구,5982035,1284105584
2021-05,서울,강남구,5613019,1226478108
2021-06,서울,강남구,5960923,1321454024
2021-07,서울,강남구,5749652,1286568935
2021-08,서울,강남구,5628448,1272479862
2021-09,서울,강남구,5520048,1222368484
2021-10,서울,강남구,5819859,1250663622
2021-11,서울,강남구,6537754,1386744936
2021-12,서울,강남구,6160547,1335898143
2022-01,서울,강남구,5823265,1246954957
2022-02,서울,강남구,6354110,1222086511
2022-03,서울,강남구,9477264,1509896612
2022-04,서울,강남구,7131398,1340982712
2022-05,서울,강남구,6499036,1415821467
2022-06,서울,강남구,6276877,1371603967
2022-07,서울,강남구,7350571,1482180077
2022-08,서울,강남구,7717461,1503555559
2022-09,서울,강남구,6860028,1385857983
2022-10,서울,강남구,6786013,1357203824
2022-11,서울,강남구,7495224,1485956946
2022-12,서울,강남구,8028864,1487191352
2023-01,서울,강남구,7180332,1420081975
2023-02,서울,강남구,6517065,1338998232
2023-03,서울,강남구,7645578,1522574279
2023-04,서울,강남구,8084429,1488365258
2023-05,서울,강남구,8674734,1594719793
2023-06,서울,강남구,8046105,1553445503
2023-07,서울,강남구,8227417,1525310032
2023-08,서울,강남구,7931917,1549861494
2023-09,서울,강남구,7544319,1403299399
2023-10,서울,강남구,8214420,1516525919
2023-11,서울,강남구,8540100,1580110036
2023-12,서울,강남구,9026345,1591741053
2024-01,서울,강남구,8761256,1651584308
2024-02,서울,강남구,7169644,1386449970
2024-03,서울,강남구,7311387,1421721027
2024-04,서울,강남구,7619836,1487311098
2024-05,서울,강남구,7596440,1495042071
2024-06,서울,강남구,7095002,1394213834
2024-07,서울,강남구,8150837,1535723899
2024-08,서울,강남구,7956826,1482617208
2024-09,서울,강남구,6884226,1334603305
2024-10,서울,강남구,7565856,1500330679
2024-11,서울,강남구,7399552,1424379773
2024-12,서울,강남구,8956914,1587369253
2025-01,서울,강남구,8390685,1473391998
2025-02,서울,강남구,6979008,1410477226
2025-03,서울,강남구,7505689,1456898790
2025-04,서울,강남구,7825022,1539677458
2025-05,서울,강남구,7208175,1456347369
2025-06,서울,강남구,6907070,1407596143
2025-07,서울,강남구,7456129,1517694169
2025-08,서울,강남구,6953264,1412504370
2025-09,서울,강남구,7925967,1577316936
2025-10,서울,강남구,7159308,1385691720
2025-11,서울,강남구,8367374,1489254627
2025-12,서울,강남구,8054220,1562830255
2020-01,서울,강동구,5467643,966273504
2020-02,서울,강동구,4287463,801391460
2020-03,서울,강동구,4123120,817970670
2020-04,서울,강동구,4125302,851829302
2020-05,서울,강동구,4329870,878593465
2020-06,서울,강동구,4532426,935902183
2020-07,서울,강동구,4577253,934028602
2020-08,서울,강동구,4123462,847615312
2020-09,서울,강동구,4404486,907119566
2020-10,서울,강동구,4253840,876097390
2020-11,서울,강동구,4390215,874180649
2020-12,서울,강동구,4456494,923290303
2021-01,서울,강동구,4020434,842611474
2021-02,서울,강동구,3832415,803386022
2021-03,서울,강동구,4722244,966647304
2021-04,서울,강동구,4707659,952210432
2021-05,서울,강동구,4362241,877645519
2021-06,서울,강동구,4708835,958763487
2021-07,서울,강동구,4513796,929429364
2021-08,서울,강동구,4437935,927469637
2021-09,서울,강동구,4500341,919080604
2021-10,서울,강동구,4707674,926099954
2021-11,서울,강동구,5047290,963068259
2021-12,서울,강동구,4851023,962152253
2022-01,서울,강동구,4619813,908537233
2022-02,서울,강동구,5137071,882891354
2022-03,서울,강동구,8015891,1155658253
2022-04,서울,강동구,5911385,1045551178
2022-05,서울,강동구,5106583,1007067729
2022-06,서울,강동구,4931900,979453045
2022-07,서울,강동구,5630619,1039603028
2022-08,서울,강동구,6090518,1071929109
2022-09,서울,강동구,5636747,1032676721
2022-10,서울,강동구,5462118,995416369
2022-11,서울,강동구,5856375,1053937058
2022-12,서울,강동구,6266449,1089795301
2023-01,서울,강동구,5507445,1008168515
2023-02,서울,강동구,5019521,980281009
2023-03,서울,강동구,5907438,1107101032
2023-04,서울,강동구,6147963,1064241425
2023-05,서울,강동구,6542989,1135488478
2023-06,서울,강동구,6089972,1103072558
2023-07,서울,강동구,6425990,1100585435
2023-08,서울,강동구,6203173,1109739080
2023-09,서울,강동구,5999251,1035766988
2023-10,서울,강동구,6256797,1095769818
2023-11,서울,강동구,6309639,1110942368
2023-12,서울,강동구,6829020,1136906532
2024-01,서울,강동구,6293706,1143706704
2024-02,서울,강동구,5481478,1012350200
2024-03,서울,강동구,5686507,1070004852
2024-04,서울,강동구,5890394,1090574958
2024-05,서울,강동구,5760903,1081091243
2024-06,서울,강동구,5436040,1031439343
2024-07,서울,강동구,6351643,1163531866
2024-08,서울,강동구,6169062,1096614421
2024-09,서울,강동구,5457784,1026901634
2024-10,서울,강동구,5757205,1091368256
2024-11,서울,강동구,5692801,1074449034
2024-12,서울,강동구,6821652,1194802204
2025-01,서울,강동구,6448344,1095338653
2025-02,서울,강동구,5541132,1075400561
2025-03,서울,강동구,5860394,1103092243
2025-04,서울,강동구,6275971,1186336959
2025-05,서울,강동구,5942540,1139533445
2025-06,서울,강동구,5726058,1134226654
2025-07,서울,강동구,6104201,1199219721
2025-08,서울,강동구,5800194,1129956424
2025-09,서울,강동구,6604198,1253658712
2025-10,서울,강동구,5892825,1111110062
2025-11,서울,강동구,6804505,1151739936
2025-12,서울,강동구,6589170,1242723564
2020-01,서울,강북구,2565109,382004055
2020-02,서울,강북구,2022050,327599937
2020-03,서울,강북구,1924777,334074056
2020-04,서울,강북구,1832838,330212194
2020-05,서울,강북구,1945194,349321546
2020-06,서울,강북구,1956425,359572949
2020-07,서울,강북구,1950590,357719258
2020-08,서울,강북구,1839546,343326097
2020-09,서울,강북구,2028491,372204248
2020-10,서울,강북구,1950861,359032747
2020-11,서울,강북구,1944603,350662567
2020-12,서울,강북구,2016369,375268704
2021-01,서울,강북구,1811856,341162762
2021-02,서울,강북구,1765641,331472119
2021-03,서울,강북구,2114416,396098120
2021-04,서울,강북구,2092427,383817023
2021-05,서울,강북구,2016390,374081550
2021-06,서울,강북구,2044265,380422388
2021-07,서울,강북구,2031717,393854929
2021-08,서울,강북구,1957336,369926447
2021-09,서울,강북구,2025268,378280465
2021-10,서울,강북구,2108031,387651636
2021-11,서울,강북구,2216716,392817350
2021-12,서울,강북구,2179838,390907634
2022-01,서울,강북구,2019883,367796720
2022-02,서울,강북구,2219326,363601961
2022-03,서울,강북구,3689111,480674445
2022-04,서울,강북구,2759155,431953679
2022-05,서울,강북구,2276729,417120734
2022-06,서울,강북구,2068499,386704964
2022-07,서울,강북구,2362565,408856293
2022-08,서울,강북구,2752934,444236125
2022-09,서울,강북구,2479706,419184250
2022-10,서울,강북구,2425752,406616249
2022-11,서울,강북구,2619532,423007117
2022-12,서울,강북구,2933716,454840663
2023-01,서울,강북구,2459428,409947533
2023-02,서울,강북구,2229383,394196191
2023-03,서울,강북구,2564081,443354613
2023-04,서울,강북구,2630758,426393308
2023-05,서울,강북구,2890794,468651931
2023-06,서울,강북구,2595347,439503890
2023-07,서울,강북구,2749549,440096925
2023-08,서울,강북구,2606595,436154932
2023-09,서울,강북구,2543652,417844997
2023-10,서울,강북구,2791871,449492932
2023-11,서울,강북구,2791738,443784722
2023-12,서울,강북구,3061178,469546671
2024-01,서울,강북구,2800852,456878223
2024-02,서울,강북구,2487640,423429440
2024-03,서울,강북구,2494642,427214623
2024-04,서울,강북구,2609007,441672651
2024-05,서울,강북구,2571265,442572168
2024-06,서울,강북구,2380748,413228320
2024-07,서울,강북구,2640772,443604785
2024-08,서울,강북구,2816726,459196683
2024-09,서울,강북구,2414687,417878929
2024-10,서울,강북구,2538521,440958202
2024-11,서울,강북구,2542362,433564360
2024-12,서울,강북구,2992055,469542112
2025-01,서울,강북구,2888829,451869610
2025-02,서울,강북구,2352098,414194101
2025-03,서울,강북구,2523550,442043833
2025-04,서울,강북구,2606448,457007813
2025-05,서울,강북구,2492652,449516089
2025-06,서울,강북구,2288526,420640763
