일시,시도명칭,시군구명칭,수량,금액
2020-01,서울,강남구,2545704,237410646
2020-02,서울,강남구,1809000,173465112
2020-03,서울,강남구,1387777,158194680
2020-04,서울,강남구,1251563,153679227
2020-05,서울,강남구,1589882,164369475
2020-06,서울,강남구,1503189,153047279
2020-07,서울,강남구,1436644,153774146
2020-08,서울,강남구,1312883,143165332
2020-09,서울,강남구,1525974,182986813
2020-10,서울,강남구,1458217,165935167
2020-11,서울,강남구,1861505,164836679
2020-12,서울,강남구,1379200,158670177
2021-01,서울,강남구,1151065,143835983
2021-02,서울,강남구,1136360,136939043
2021-03,서울,강남구,1838501,172573372
2021-04,서울,강남구,2335076,206366955
2021-05,서울,강남구,1730324,167675544
2021-06,서울,강남구,1479878,159492294
2021-07,서울,강남구,1352136,160368909
2021-08,서울,강남구,1200191,153585413
2021-09,서울,강남구,1604063,181014370
2021-10,서울,강남구,1746387,173939125
2021-11,서울,강남구,2272052,193468451
2021-12,서울,강남구,1801817,178605492
2022-01,서울,강남구,1695764,172401287
2022-02,서울,강남구,1729538,177119806
2022-03,서울,강남구,2484726,247984593
2022-04,서울,강남구,2563567,244278971
2022-05,서울,강남구,2229268,212284646
2022-06,서울,강남구,1870556,171246369
2022-07,서울,강남구,2236051,207971832
2022-08,서울,강남구,2036017,215283353
2022-09,서울,강남구,2375052,230227538
2022-10,서울,강남구,2539408,223986731
2022-11,서울,강남구,2573246,228904510
2022-12,서울,강남구,2995480,262455426
2023-01,서울,강남구,2367294,228984415
2023-02,서울,강남구,2394203,211415861
2023-03,서울,강남구,3187544,270845245
2023-04,서울,강남구,3998684,315668624
2023-05,서울,강남구,3289241,282169800
2023-06,서울,강남구,2528551,240756074
2023-07,서울,강남구,2655699,231612239
2023-08,서울,강남구,2324892,231407709
2023-09,서울,강남구,2910736,251878064
2023-10,서울,강남구,3113638,277959307
2023-11,서울,강남구,3290159,283648035
2023-12,서울,강남구,3683222,304085120
2024-01,서울,강남구,3062037,281204942
2024-02,서울,강남구,2661738,238064224
2024-03,서울,강남구,2963908,250011751
2024-04,서울,강남구,3414316,295932582
2024-05,서울,강남구,2837155,249170414
2024-06,서울,강남구,2226796,208647173
2024-07,서울,강남구,2601955,232901435
2024-08,서울,강남구,2424308,240676958
2024-09,서울,강남구,2570250,237716510
2024-10,서울,강남구,3014733,269210289
2024-11,서울,강남구,3137136,271219678
2024-12,서울,강남구,3673220,319896290
2025-01,서울,강남구,3128918,287680834
2025-02,서울,강남구,2401514,232597378
2025-03,서울,강남구,3054967,270263611
2025-04,서울,강남구,3418379,312212288
2025-05,서울,강남구,2644573,255704353
2025-06,서울,강남구,2020988,208667421
2025-07,서울,강남구,2161757,220115699
2025-08,서울,강남구,1925710,212747680
2025-09,서울,강남구,2561783,270947688
2025-10,서울,강남구,2466206,250583750
2025-11,서울,강남구,3084289,281196549
2025-12,서울,강남구,2923664,279223490
2020-01,서울,강동구,2109027,180384996
2020-02,서울,강동구,1513401,134035810
2020-03,서울,강동구,1129611,124920527
2020-04,서울,강동구,1074388,122670539
2020-05,서울,강동구,1433102,134429020
2020-06,서울,강동구,1367797,129254211
2020-07,서울,강동구,1307709,128893452
2020-08,서울,강동구,1102227,116686650
2020-09,서울,강동구,1212187,143428011
2020-10,서울,강동구,1298238,136445401
2020-11,서울,강동구,1735100,137843318
2020-12,서울,강동구,1233029,133389081
2021-01,서울,강동구,958317,118260023
2021-02,서울,강동구,970605,113197908
2021-03,서울,강동구,1608210,137651642
2021-04,서울,강동구,2042200,164039624
2021-05,서울,강동구,1628696,139824780
2021-06,서울,강동구,1366931,134106872
2021-07,서울,강동구,1214467,132507571
2021-08,서울,강동구,1028451,128855543
2021-09,서울,강동구,1527458,152962793
2021-10,서울,강동구,1736427,152674920
2021-11,서울,강동구,2172492,165500672
2021-12,서울,강동구,1826345,154974399
2022-01,서울,강동구,1780185,148419058
2022-02,서울,강동구,1634342,152088409
2022-03,서울,강동구,2274707,217020348
2022-04,서울,강동구,2330874,195295147
2022-05,서울,강동구,2105618,167727871
2022-06,서울,강동구,1761671,140114991
2022-07,서울,강동구,1938214,152264383
2022-08,서울,강동구,1802565,164896588
2022-09,서울,강동구,2149676,180082337
2022-10,서울,강동구,2411977,175368889
2022-11,서울,강동구,2433682,178801759
2022-12,서울,강동구,2749648,201617835
2023-01,서울,강동구,2128221,168962976
2023-02,서울,강동구,2108550,157202047
2023-03,서울,강동구,2719416,195812761
2023-04,서울,강동구,3304629,219163385
2023-05,서울,강동구,2860749,210058544
2023-06,서울,강동구,2109754,175736124
2023-07,서울,강동구,2349080,175569660
2023-08,서울,강동구,2031154,173750088
2023-09,서울,강동구,2514886,188857450
2023-10,서울,강동구,2817934,209361443
2023-11,서울,강동구,2997608,217634541
