일시,province,시군구명칭,약품구분,예측수량,학습모델,학습방법
2026-01,서울,강남구,해열진통소염제,8235025.1584,랜덤포레스트,그리드서치
2026-01,서울,강동구,해열진통소염제,6988841.258703486,랜덤포레스트,그리드서치
2026-01,서울,강북구,해열진통소염제,2762143.200714498,랜덤포레스트,그리드서치
2026-01,서울,강서구,해열진통소염제,5281409.090091275,랜덤포레스트,그리드서치
2026-01,서울,관악구,해열진통소염제,3293016.431321513,랜덤포레스트,그리드서치
2026-01,서울,광진구,해열진통소염제,3184440.771662989,랜덤포레스트,그리드서치
2026-01,서울,구로구,해열진통소염제,4081827.40768508,랜덤포레스트,그리드서치
2026-01,서울,금천구,해열진통소염제,2152130.142408395,랜덤포레스트,그리드서치
2026-01,서울,노원구,해열진통소염제,4487790.925698798,랜덤포레스트,그리드서치
2026-01,서울,도봉구,해열진통소염제,2536931.1613322548,랜덤포레스트,그리드서치
2026-01,서울,동대문구,해열진통소염제,4084599.136484001,랜덤포레스트,그리드서치
2026-01,서울,동작구,해열진통소염제,3476308.0373243694,랜덤포레스트,그리드서치
2026-01,서울,마포구,해열진통소염제,2724249.656358097,랜덤포레스트,그리드서치
2026-01,서울,서대문구,해열진통소염제,2966243.558321554,랜덤포레스트,그리드서치
2026-01,서울,서초구,해열진통소염제,4920750.406170732,랜덤포레스트,그리드서치
2026-01,서울,성동구,해열진통소염제,2826490.19647508,랜덤포레스트,그리드서치
2026-01,서울,성북구,해열진통소염제,3769945.307450014,랜덤포레스트,그리드서치
2026-01,서울,송파구,해열진통소염제,6505884.165261129,랜덤포레스트,그리드서치
2026-01,서울,양천구,해열진통소염제,4078615.607418312,랜덤포레스트,그리드서치
2026-01,서울,영등포구,해열진통소염제,4492140.467322133,랜덤포레스트,그리드서치
2026-01,서울,용산구,해열진통소염제,1541323.125809259,랜덤포레스트,그리드서치
2026-01,서울,은평구,해열진통소염제,4271117.427343359,랜덤포레스트,그리드서치
2026-01,서울,종로구,해열진통소염제,3336378.972786881,랜덤포레스트,그리드서치
2026-01,서울,중구,해열진통소염제,1923582.0668226664,랜덤포레스트,그리드서치
2026-01,서울,중랑구,해열진통소염제,3691891.00492856,랜덤포레스트,그리드서치
2026-01,서울,강남구,진해거담제,5348254.290472447,랜덤포레스트,그리드서치
2026-01,서울,강동구,진해거담제,5284922.394343617,랜덤포레스트,그리드서치
2026-01,서울,강북구,진해거담제,2059375.910265488,랜덤포레스트,그리드서치
2026-01,서울,강서구,진해거담제,4819347.134225805,랜덤포레스트,그리드서치
2026-01,서울,관악구,진해거담제,2805086.111509399,랜덤포레스트,그리드서치
2026-01,서울,광진구,진해거담제,2179669.4157657367,랜덤포레스트,그리드서치
2026-01,서울,구로구,진해거담제,4234910.835894434,랜덤포레스트,그리드서치
2026-01,서울,금천구,진해거담제,1789459.1879172693,랜덤포레스트,그리드서치
2026-01,서울,노원구,진해거담제,4168622.140253137,랜덤포레스트,그리드서치
2026-01,서울,도봉구,진해거담제,2085748.2300668424,랜덤포레스트,그리드서치
2026-01,서울,동대문구,진해거담제,3020088.946392253,랜덤포레스트,그리드서치
2026-01,서울,동작구,진해거담제,3224748.016331795,랜덤포레스트,그리드서치
2026-01,서울,마포구,진해거담제,3020937.191282497,랜덤포레스트,그리드서치
2026-01,서울,서대문구,진해거담제,2994833.4998933827,랜덤포레스트,그리드서치
2026-01,서울,서초구,진해거담제,3889357.718091837,랜덤포레스트,그리드서치
2026-01,서울,성동구,진해거담제,2588464.4960231096,랜덤포레스트,그리드서치
2026-01,서울,성북구,진해거담제,4138704.508114256,랜덤포레스트,그리드서치
2026-01,서울,송파구,진해거담제,5378341.557969401,랜덤포레스트,그리드서치
2026-01,서울,양천구,진해거담제,3665703.948385486,랜덤포레스트,그리드서치
2026-01,서울,영등포구,진해거담제,4129214.988450789,랜덤포레스트,그리드서치
