일시,province,시군구명칭,약품구분,예측수량,학습모델,학습방법
2026-01,서울,강남구,해열진통소염제,7732099.97359695,릿지회귀,배깅
2026-01,서울,강동구,해열진통소염제,6233011.545459686,릿지회귀,배깅
2026-01,서울,강북구,해열진통소염제,2463297.1584957894,릿지회귀,배깅
2026-01,서울,강서구,해열진통소염제,5000031.90021413,릿지회귀,배깅
2026-01,서울,관악구,해열진통소염제,3040750.781712535,릿지회귀,배깅
2026-01,서울,광진구,해열진통소염제,2909551.074740159,릿지회귀,배깅
2026-01,서울,구로구,해열진통소염제,3529799.080992529,릿지회귀,배깅
2026-01,서울,금천구,해열진통소염제,1961623.7534657463,릿지회귀,배깅
2026-01,서울,노원구,해열진통소염제,4307832.170051633,릿지회귀,배깅
2026-01,서울,도봉구,해열진통소염제,2195971.6716492977,릿지회귀,배깅
2026-01,서울,동대문구,해열진통소염제,3671364.8129833736,릿지회귀,배깅
2026-01,서울,동작구,해열진통소염제,3184894.687901149,릿지회귀,배깅
2026-01,서울,마포구,해열진통소염제,2378135.3225096664,릿지회귀,배깅
2026-01,서울,서대문구,해열진통소염제,2725097.6102962266,릿지회귀,배깅
2026-01,서울,서초구,해열진통소염제,4601527.221184525,릿지회귀,배깅
2026-01,서울,성동구,해열진통소염제,2570184.4195893924,릿지회귀,배깅
2026-01,서울,성북구,해열진통소염제,3301732.620021976,릿지회귀,배깅
2026-01,서울,송파구,해열진통소염제,5912810.185264858,릿지회귀,배깅
2026-01,서울,양천구,해열진통소염제,3472672.8263955475,릿지회귀,배깅
2026-01,서울,영등포구,해열진통소염제,4308792.018111283,릿지회귀,배깅
2026-01,서울,용산구,해열진통소염제,1288384.1168194816,릿지회귀,배깅
2026-01,서울,은평구,해열진통소염제,4047040.75914836,릿지회귀,배깅
2026-01,서울,종로구,해열진통소염제,3115893.659042892,릿지회귀,배깅
2026-01,서울,중구,해열진통소염제,1673232.2444373209,릿지회귀,배깅
2026-01,서울,중랑구,해열진통소염제,3271847.3200547597,릿지회귀,배깅
2026-01,서울,강남구,진해거담제,4798128.963146819,릿지회귀,배깅
2026-01,서울,강동구,진해거담제,4602285.237284412,릿지회귀,배깅
2026-01,서울,강북구,진해거담제,1835952.1816885176,릿지회귀,배깅
2026-01,서울,강서구,진해거담제,4104772.9485495305,릿지회귀,배깅
2026-01,서울,관악구,진해거담제,2406882.894782166,릿지회귀,배깅
2026-01,서울,광진구,진해거담제,1980355.1011920928,릿지회귀,배깅
2026-01,서울,구로구,진해거담제,3495132.814388679,릿지회귀,배깅
2026-01,서울,금천구,진해거담제,1559100.580733292,릿지회귀,배깅
2026-01,서울,노원구,진해거담제,3433845.633345832,릿지회귀,배깅
2026-01,서울,도봉구,진해거담제,1839433.3119108956,릿지회귀,배깅
2026-01,서울,동대문구,진해거담제,2613220.862971192,릿지회귀,배깅
2026-01,서울,동작구,진해거담제,2781904.63508866,릿지회귀,배깅
2026-01,서울,마포구,진해거담제,2527649.2366180187,릿지회귀,배깅
2026-01,서울,서대문구,진해거담제,2504895.731919543,릿지회귀,배깅
2026-01,서울,서초구,진해거담제,3118372.3138628826,릿지회귀,배깅
2026-01,서울,성동구,진해거담제,2119309.4575556195,릿지회귀,배깅
2026-01,서울,성북구,진해거담제,3482196.625765624,릿지회귀,배깅
2026-01,서울,송파구,진해거담제,4918501.121239984,릿지회귀,배깅
2026-01,서울,양천구,진해거담제,2957427.9703600705,릿지회귀,배깅
2026-01,서울,영등포구,진해거담제,3347133.727244568,릿지회귀,배깅
2026-01,서울,용산구,진해거담제,882396.2201344105,릿지회귀,배깅
2026-01,서울,은평구,진해거담제,3103407.509304433,릿지회귀,배깅
2026-01,서울,종로구,진해거담제,1654643.3988724763,릿지회귀,배깅
2026-01,서울,중구,진해거담제,1200583.2124711575,릿지회귀,배깅
2026-01,서울,중랑구,진해거담제,2760732.3799475264,릿지회귀,배깅
2026-01,서울,강남구,항히스타민제,2504341.304256293,릿지회귀,배깅
